planetName,discoveryMethod,planetsInSystem,orbitalPeriod,orbitalSemiMajorAxis,orbitalEccentricity,planetDensity,orbitalInclination,rightAscension,Declination,distanceParsecs,vBand,stellarTemperature,solarMass,solarRadii,periastronDays,planetEarthMasses,planetEarthMassSinI,planetEarthRadii,planetSolarRadii,stellarRadialVelocity,spectralType,stellarLuminosity,stellarDensity
Kepler-177 c,Transit,2,49.412,,,,,286.047119,45.053207,,,5942,1.07,1.07,,7.5,,7.1,0.065,,,,
Kepler-178 b,Transit,3,9.576694,0.085,,,,287.101074,46.896477,,,5676,,1.07,,,,2.9,0.027,,,,
Kepler-178 c,Transit,3,20.552802,0.142,,,,287.101074,46.896477,,,5676,,1.07,,,,2.88,0.026,,,,
Kepler-178 d,Transit,3,96.678988,0.397,,,,287.101074,46.896477,,,5676,,1.07,,,,3.95,0.036,,,,
Kepler-179 b,Transit,2,2.735926,0.036,,,,298.663727,47.762043,,,5302,,0.76,,,,1.64,0.015,-32.82,,,
Kepler-179 c,Transit,2,6.40013,0.064,,,,298.663727,47.762043,,,5302,,0.76,,,,2,0.018,-32.82,,,
Kepler-180 b,Transit,2,13.817124,0.109,,,,295.57135,49.774586,,,5731,0.84,1.06,,,,1.5,0.014,,,,
Kepler-180 c,Transit,2,41.885775,0.229,,,,295.57135,49.774586,,,5731,0.84,1.06,,,,3.01,0.028,,,,
Kepler-181 b,Transit,2,3.137873,0.04,,,,296.151398,50.095806,,,5333,,0.75,,,,1.27,0.012,,,,
Kepler-181 c,Transit,2,4.302149,0.049,,,,296.151398,50.095806,,,5333,,0.75,,,,1.99,0.018,,,,
Kepler-182 b,Transit,2,9.825792,0.096,,,,289.830109,50.586246,,,6250,1.14,1.15,,,,2.58,0.024,,,,
Kepler-182 c,Transit,2,20.684342,0.157,,,,289.830109,50.586246,,,6250,1.14,1.15,,,,3.43,0.032,,,,
Kepler-183 b,Transit,2,5.687945,0.064,,,,293.530853,39.315899,,,5888,,0.96,,,,2.06,0.019,,,,
Kepler-183 c,Transit,2,11.637071,0.103,,,,293.530853,39.315899,,,5888,,0.96,,,,2.27,0.021,,,,
Kepler-184 b,Transit,3,10.687576,0.092,,,,291.951904,43.074715,,,5788,,0.87,,,,2.36,0.022,,,,
Kepler-184 c,Transit,3,20.303005,0.141,,,,291.951904,43.074715,,,5788,,0.87,,,,1.97,0.018,,,,
Kepler-184 d,Transit,3,29.022358,0.179,,,,291.951904,43.074715,,,5788,,0.87,,,,2.49,0.023,,,,
Kepler-185 b,Transit,2,1.6329,0.026,,,,282.468109,43.889915,,,5208,0.79,0.81,,,,1.17,0.011,,,,
Kepler-185 c,Transit,2,20.729042,0.139,,,,282.468109,43.889915,,,5208,0.79,0.81,,,,2.02,0.018,,,,
Kepler-186 b,Transit,5,3.8867907,0.0343,,,,298.65271,43.955017,151,,3788,0.48,0.47,,,,1.07,0.01,,6.1,-1.385,6.4
Kepler-186 c,Transit,5,7.267302,0.0451,,,,298.65271,43.955017,151,,3788,0.48,0.47,,,,1.25,0.011,,6.1,-1.385,6.4
Kepler-186 d,Transit,5,13.342996,0.0781,,,,298.65271,43.955017,151,,3788,0.48,0.47,,,,1.4,0.013,,6.1,-1.385,6.4
Kepler-186 e,Transit,5,22.407704,0.11,,,,298.65271,43.955017,151,,3788,0.48,0.47,,,,1.27,0.012,,6.1,-1.385,6.4
Kepler-186 f,Transit,5,129.9459,0.356,,,,298.65271,43.955017,151,,3788,0.48,0.47,,,,1.11,0.01,,6.1,-1.385,6.4
Kepler-187 b,Transit,2,4.938864,0.059,,,,299.796448,44.089306,,,6105,0.85,1.29,,,,1.41,0.013,,,,
Kepler-187 c,Transit,2,10.640263,0.099,,,,299.796448,44.089306,,,6105,0.85,1.29,,,,2.67,0.025,,,,
Kepler-188 b,Transit,2,2.061897,0.032,,,,281.279724,44.315533,,,6021,,1.14,,,,1.68,0.015,-8.36,,,
Kepler-188 c,Transit,2,5.996553,0.066,,,,281.279724,44.315533,,,6021,,1.14,,,,3.19,0.029,-8.36,,,
Kepler-189 b,Transit,2,10.399931,0.088,,,,287.564728,44.305004,,,5235,0.79,0.75,,,,1.21,0.011,,,,
Kepler-189 c,Transit,2,20.134866,0.137,,,,287.564728,44.305004,,,5235,0.79,0.75,,,,2.38,0.022,,,,
Kepler-190 b,Transit,2,2.019999,0.03,,,,288.584045,44.733799,,,5106,0.84,0.8,,,,1.56,0.014,,,,
Kepler-190 c,Transit,2,3.763024,0.045,,,,288.584045,44.733799,,,5106,0.84,0.8,,,,1.46,0.013,,,,
Kepler-191 b,Transit,2,9.939632,0.087,,,,291.18338,45.323177,,,5282,0.85,0.79,,,,1.34,0.012,,,,
Kepler-191 c,Transit,2,17.738506,0.128,,,,291.18338,45.323177,,,5282,0.85,0.79,,,,1.86,0.017,,,,
Kepler-192 b,Transit,2,9.926746,0.09,,,,287.917938,45.592876,,,5479,,1.01,,,,2.74,0.025,,,,
Kepler-192 c,Transit,2,21.2234,0.15,,,,287.917938,45.592876,,,5479,,1.01,,,,2.79,0.026,,,,
Kepler-193 b,Transit,2,11.38848,0.106,,,,296.498596,46.577244,,,6335,,1.15,,,,2.39,0.022,,,,
Kepler-193 c,Transit,2,50.697494,0.286,,,,296.498596,46.577244,,,6335,,1.15,,,,2.75,0.025,,,,
Kepler-194 b,Transit,3,2.092281,0.032,,,,291.971436,47.864174,,,6089,,1.02,,,,1.51,0.014,,,,
Kepler-194 c,Transit,3,17.308032,0.131,,,,291.971436,47.864174,,,6089,,1.02,,,,2.59,0.024,,,,
Kepler-194 d,Transit,3,52.814973,0.275,,,,291.971436,47.864174,,,6089,,1.02,,,,2.4,0.022,,,,
Kepler-195 b,Transit,2,8.307872,0.077,,,,288.120972,47.966667,,,5329,,0.78,,,,2.03,0.019,,,,
Kepler-195 c,Transit,2,34.096863,0.197,,,,288.120972,47.966667,,,5329,,0.78,,,,1.55,0.014,,,,
Kepler-196 b,Transit,2,20.739886,0.138,,,,284.968506,42.079205,,,5128,,0.78,,,,1.9,0.017,,,,
Kepler-196 c,Transit,2,47.427737,0.24,,,,284.968506,42.079205,,,5128,,0.78,,,,2.24,0.021,,,,
Kepler-197 b,Transit,4,5.599308,0.06,,,,295.22644,50.559006,,,6004,,1.12,,,,1.02,0.009,,,,
Kepler-197 c,Transit,4,10.349695,0.09,,,,295.22644,50.559006,,,6004,,1.12,,,,1.23,0.011,,,,
Kepler-197 d,Transit,4,15.677563,0.119,,,,295.22644,50.559006,,,6004,,1.12,,,,1.22,0.011,,,,
Kepler-197 e,Transit,4,25.209715,0.164,,,,295.22644,50.559006,,,6004,,1.12,,,,0.91,0.008,,,,
Kepler-198 b,Transit,2,17.790037,0.131,,,,290.673126,38.69101,,,5574,0.93,0.94,,,,2.82,0.026,,,,
Kepler-198 c,Transit,2,49.567416,0.259,,,,290.673126,38.69101,,,5574,0.93,0.94,,,,2.47,0.023,,,,
Kepler-199 b,Transit,2,23.637604,0.158,,,,295.559418,40.236271,,,5644,,0.97,,,,3.11,0.029,,,,
Kepler-199 c,Transit,2,67.093408,0.316,,,,295.559418,40.236271,,,5644,,0.97,,,,3.25,0.03,,,,
Kepler-200 b,Transit,2,8.594805,0.08,,,,284.409912,41.237465,,,5678,,0.94,,,,2.13,0.019,,,,
Kepler-200 c,Transit,2,10.222157,0.09,,,,284.409912,41.237465,,,5678,,0.94,,,,1.59,0.015,,,,
Kepler-201 b,Transit,2,25.672083,0.175,,,,293.626038,41.272827,,,6065,1.17,1.23,,,,2.46,0.023,,,,
Kepler-201 c,Transit,2,151.884058,0.573,,,,293.626038,41.272827,,,6065,1.17,1.23,,,,2.85,0.026,,,,
Kepler-202 b,Transit,2,4.069427,0.045,,,,282.973419,41.322006,,,4668,,0.67,,,,1.63,0.015,,,,
Kepler-202 c,Transit,2,16.282493,0.113,,,,282.973419,41.322006,,,4668,,0.67,,,,1.85,0.017,,,,
Kepler-203 b,Transit,3,3.162697,0.043,,,,297.089966,41.388039,,,5821,0.98,1.11,,,,2.57,0.024,,,,
Kepler-203 c,Transit,3,5.370647,0.061,,,,297.089966,41.388039,,,5821,0.98,1.11,,,,2.47,0.023,,,,
Kepler-203 d,Transit,3,11.32972,0.1,,,,297.089966,41.388039,,,5821,0.98,1.11,,,,1.44,0.013,,,,
Kepler-204 b,Transit,2,14.400974,0.117,,,,285.347198,41.761925,,,5812,0.96,1.24,,,,2.53,0.023,,,,
Kepler-204 c,Transit,2,25.660593,0.173,,,,285.347198,41.761925,,,5812,0.96,1.24,,,,1.79,0.016,,,,
Kepler-205 b,Transit,2,2.75564,0.032,,,,285.287109,41.861172,,,4321,,0.55,,,,1.51,0.014,,,,
Kepler-205 c,Transit,2,20.306546,0.122,,,,285.287109,41.861172,,,4321,,0.55,,,,1.64,0.015,,,,
Kepler-206 b,Transit,3,7.781987,0.078,,,,291.634674,41.833866,,,5764,0.94,1.19,,,,1.2,0.011,,,,
Kepler-206 c,Transit,3,13.137471,0.111,,,,291.634674,41.833866,,,5764,0.94,1.19,,,,1.77,0.016,,,,
Kepler-206 d,Transit,3,23.44281,0.163,,,,291.634674,41.833866,,,5764,0.94,1.19,,,,1.19,0.011,,,,
Kepler-207 b,Transit,3,1.611865,0.029,,,,290.030518,42.16605,,,5920,,1.59,,,,1.57,0.014,,,,
Kepler-207 c,Transit,3,3.071571,0.044,,,,290.030518,42.16605,,,5920,,1.59,,,,1.5,0.014,,,,
Kepler-207 d,Transit,3,5.868075,0.068,,,,290.030518,42.16605,,,5920,,1.59,,,,3.31,0.03,,,,
Kepler-208 b,Transit,4,4.22864,0.054,,,,293.890198,42.528008,,,6092,1.03,1.31,,,,1.63,0.015,,,,
Kepler-208 c,Transit,4,7.466623,0.079,,,,293.890198,42.528008,,,6092,1.03,1.31,,,,1.39,0.013,,,,
Kepler-208 d,Transit,4,11.131786,0.103,,,,293.890198,42.528008,,,6092,1.03,1.31,,,,1.2,0.011,,,,
Kepler-208 e,Transit,4,16.259458,0.132,,,,293.890198,42.528008,,,6092,1.03,1.31,,,,1.48,0.014,,,,
Kepler-209 b,Transit,2,16.087845,0.122,,,,291.169525,42.640812,,,5513,,0.94,,,,2.26,0.021,,,,
Kepler-209 c,Transit,2,41.749882,0.231,,,,291.169525,42.640812,,,5513,,0.94,,,,3.1,0.028,,,,
Kepler-210 b,Transit,2,2.453234,0.032,,,,292.503387,43.083149,,,4559,,0.65,,,,2.94,0.027,,,,
Kepler-210 c,Transit,2,7.972513,0.07,,,,292.503387,43.083149,,,4559,,0.65,,,,3.62,0.033,,,,
Kepler-211 b,Transit,2,4.138575,0.048,,,,285.439148,43.168484,,,5123,0.97,0.82,,,,1.26,0.012,,,,
Kepler-211 c,Transit,2,6.04045,0.062,,,,285.439148,43.168484,,,5123,0.97,0.82,,,,1.29,0.012,,,,
Kepler-212 b,Transit,2,16.257582,0.133,,,,287.620819,43.141678,,,5852,1.16,1.46,,,,1.09,0.01,,,,
Kepler-212 c,Transit,2,31.805174,0.207,,,,287.620819,43.141678,,,5852,1.16,1.46,,,,2.74,0.025,,,,
Kepler-213 b,Transit,2,2.46236,0.036,,,,290.824188,44.647186,,,5696,0.94,1.2,,,,1.62,0.015,,,,
Kepler-213 c,Transit,2,4.822962,0.057,,,,290.824188,44.647186,,,5696,0.94,1.2,,,,2.34,0.021,,,,
Kepler-214 b,Transit,2,15.660544,0.13,,,,284.754852,44.956032,,,6169,,1.35,,,,2.61,0.024,,,,
Kepler-214 c,Transit,2,28.7798,0.194,,,,284.754852,44.956032,,,6169,,1.35,,,,2.13,0.019,,,,
Kepler-215 b,Transit,4,9.360672,0.084,,,,294.973511,45.213688,,,5739,0.77,1.03,,,,1.62,0.015,,,,
Kepler-215 c,Transit,4,14.667108,0.113,,,,294.973511,45.213688,,,5739,0.77,1.03,,,,1.77,0.016,,,,
Kepler-215 d,Transit,4,30.864423,0.185,,,,294.973511,45.213688,,,5739,0.77,1.03,,,,2.39,0.022,,,,
Kepler-215 e,Transit,4,68.16101,0.314,,,,294.973511,45.213688,,,5739,0.77,1.03,,,,1.75,0.016,,,,
Kepler-216 b,Transit,2,7.693641,0.079,,,,293.728058,46.129154,,,6091,,1.26,,,,2.35,0.022,,,,
Kepler-216 c,Transit,2,17.406669,0.136,,,,293.728058,46.129154,,,6091,,1.26,,,,3.04,0.028,,,,
Kepler-217 b,Transit,2,5.374943,0.065,,,,293.03775,46.277508,,,6171,,1.8,,,,2.23,0.021,,,,
Kepler-217 c,Transit,2,8.586004,0.089,,,,293.03775,46.277508,,,6171,,1.8,,,,1.85,0.017,,,,
Kepler-218 b,Transit,2,3.619337,0.046,,,,295.412811,46.266472,,,5502,,1.06,,,,1.48,0.014,,,,
Kepler-218 c,Transit,2,44.699576,0.248,,,,295.412811,46.266472,,,5502,,1.06,,,,3.14,0.029,,,,
Kepler-219 b,Transit,3,4.585512,0.057,,,,288.738983,46.762558,,,5786,,1.49,,,,2.95,0.027,,,,
Kepler-219 c,Transit,3,22.714613,0.165,,,,288.738983,46.762558,,,5786,,1.49,,,,3.58,0.033,,,,
Kepler-219 d,Transit,3,47.903645,0.272,,,,288.738983,46.762558,,,5786,,1.49,,,,2.81,0.026,,,,
Kepler-220 b,Transit,4,4.159807,0.046,,,,291.506226,46.895779,,,4632,,0.67,,,,0.81,0.007,,,,
Kepler-220 c,Transit,4,9.034199,0.076,,,,291.506226,46.895779,,,4632,,0.67,,,,1.57,0.014,,,,
Kepler-220 d,Transit,4,28.122397,0.163,,,,291.506226,46.895779,,,4632,,0.67,,,,0.98,0.009,,,,
Kepler-220 e,Transit,4,45.902733,0.226,,,,291.506226,46.895779,,,4632,,0.67,,,,1.33,0.012,,,,
Kepler-221 b,Transit,4,2.795906,0.037,,,,296.654755,46.83527,,,5243,0.72,0.82,,,,1.71,0.016,,,,
Kepler-221 c,Transit,4,5.690586,0.059,,,,296.654755,46.83527,,,5243,0.72,0.82,,,,2.93,0.027,,,,
Kepler-221 d,Transit,4,10.04156,0.087,,,,296.654755,46.83527,,,5243,0.72,0.82,,,,2.73,0.025,,,,
Kepler-221 e,Transit,4,18.369917,0.13,,,,296.654755,46.83527,,,5243,0.72,0.82,,,,2.63,0.024,,,,
Kepler-222 b,Transit,3,3.936981,0.048,,,,287.906097,46.937767,,,5433,,0.87,,,,3.16,0.029,,,,
Kepler-222 c,Transit,3,10.08881,0.091,,,,287.906097,46.937767,,,5433,,0.87,,,,4.64,0.043,,,,
Kepler-222 d,Transit,3,28.081912,0.18,,,,287.906097,46.937767,,,5433,,0.87,,,,3.69,0.034,,,,
Kepler-223 b,Transit,4,7.384108,0.073,,,,298.318359,47.279495,,,5829,,1.02,,,,1.69,0.015,,,,
Kepler-223 c,Transit,4,9.848183,0.088,,,,298.318359,47.279495,,,5829,,1.02,,,,2,0.018,,,,
Kepler-223 d,Transit,4,14.788759,0.116,,,,298.318359,47.279495,,,5829,,1.02,,,,2.98,0.027,,,,
Kepler-223 e,Transit,4,19.721734,0.14,,,,298.318359,47.279495,,,5829,,1.02,,,,2.4,0.022,,,,
Kepler-224 b,Transit,4,3.132924,0.038,,,,290.934296,47.357601,,,5018,0.74,0.68,,,,1.39,0.013,,,,
Kepler-224 c,Transit,4,5.925003,0.058,,,,290.934296,47.357601,,,5018,0.74,0.68,,,,3.12,0.029,,,,
Kepler-224 d,Transit,4,11.349393,0.089,,,,290.934296,47.357601,,,5018,0.74,0.68,,,,2.3,0.021,,,,
Kepler-224 e,Transit,4,18.643577,0.124,,,,290.934296,47.357601,,,5018,0.74,0.68,,,,1.97,0.018,,,,
Kepler-225 b,Transit,2,6.738975,0.056,,,,292.19397,47.457096,,,3682,,0.48,,,,1.2,0.011,,,,
Kepler-225 c,Transit,2,18.794234,0.111,,,,292.19397,47.457096,,,3682,,0.48,,,,1.84,0.017,,,,
Kepler-226 b,Transit,3,3.940997,0.047,,,,292.376129,47.880989,,,5571,0.86,0.8,,,,1.55,0.014,,,,
Kepler-226 c,Transit,3,5.349555,0.058,,,,292.376129,47.880989,,,5571,0.86,0.8,,,,2.27,0.021,,,,
Kepler-226 d,Transit,3,8.109044,0.076,,,,292.376129,47.880989,,,5571,0.86,0.8,,,,1.22,0.011,,,,
Kepler-227 b,Transit,2,9.488015,0.09,,,,291.934235,48.141651,,,5854,,1.09,,,,3.11,0.029,,,,
Kepler-227 c,Transit,2,54.418694,0.29,,,,291.934235,48.141651,,,5854,,1.09,,,,3.04,0.028,,,,
Kepler-228 b,Transit,3,2.566546,0.038,,,,296.286133,48.224667,,,6043,,1.01,,,,1.53,0.014,,,,
Kepler-228 c,Transit,3,4.134444,0.052,,,,296.286133,48.224667,,,6043,,1.01,,,,2.7,0.025,,,,
Kepler-228 d,Transit,3,11.094286,0.101,,,,296.286133,48.224667,,,6043,,1.01,,,,4.04,0.037,,,,
Kepler-229 b,Transit,3,6.252972,0.062,,,,286.999481,48.375797,,,5120,,0.73,,,,2.2,0.02,,,,
Kepler-229 c,Transit,3,16.068638,0.117,,,,286.999481,48.375797,,,5120,,0.73,,,,4.92,0.045,,,,
Kepler-229 d,Transit,3,41.194912,0.22,,,,286.999481,48.375797,,,5120,,0.73,,,,3.85,0.035,,,,
Kepler-230 b,Transit,2,32.625555,0.191,,,,285.718536,48.505859,,,5588,,0.82,,,,4.26,0.039,,,,
Kepler-230 c,Transit,2,91.773242,0.38,,,,285.718536,48.505859,,,5588,,0.82,,,,2.04,0.019,,,,
Kepler-231 b,Transit,2,10.065275,0.074,,,,293.973358,50.531914,,,3767,0.58,0.49,,,,1.73,0.016,,,,
Kepler-231 c,Transit,2,19.271566,0.114,,,,293.973358,50.531914,,,3767,0.58,0.49,,,,1.93,0.018,,,,
Kepler-232 b,Transit,2,4.431222,0.054,,,,295.816162,51.121742,,,5847,,0.97,,,,3.08,0.028,,,,
Kepler-232 c,Transit,2,11.379349,0.101,,,,295.816162,51.121742,,,5847,,0.97,,,,3.83,0.035,,,,
Kepler-233 b,Transit,2,8.472382,0.077,,,,296.366516,51.319523,,,5360,,0.76,,,,2.43,0.022,,,,
Kepler-233 c,Transit,2,60.418955,0.287,,,,296.366516,51.319523,,,5360,,0.76,,,,2.71,0.025,,,,
Kepler-234 b,Transit,2,2.711506,0.04,,,,291.653503,38.494659,,,6224,,1.11,,,,3.7,0.034,,,,
Kepler-234 c,Transit,2,7.21205,0.077,,,,291.653503,38.494659,,,6224,,1.11,,,,3.51,0.032,,,,
Kepler-235 b,Transit,4,3.340222,0.037,,,,286.079102,39.278313,,,4255,0.59,0.55,,,,2.23,0.021,,,,
Kepler-235 c,Transit,4,7.824904,0.065,,,,286.079102,39.278313,,,4255,0.59,0.55,,,,1.28,0.012,,,,
Kepler-235 d,Transit,4,20.060548,0.122,,,,286.079102,39.278313,,,4255,0.59,0.55,,,,2.05,0.019,,,,
Kepler-235 e,Transit,4,46.183669,0.213,,,,286.079102,39.278313,,,4255,0.59,0.55,,,,2.22,0.02,,,,
Kepler-236 b,Transit,2,8.295611,0.065,,,,283.866364,39.89809,,,3750,0.56,0.51,,,,1.57,0.014,,,,
Kepler-236 c,Transit,2,23.968127,0.132,,,,283.866364,39.89809,,,3750,0.56,0.51,,,,2,0.018,,,,
Kepler-237 b,Transit,2,4.715106,0.05,,,,283.221375,40.421833,,,4861,0.7,0.72,,,,1.41,0.013,,,,
Kepler-237 c,Transit,2,8.103636,0.071,,,,283.221375,40.421833,,,4861,0.7,0.72,,,,2.08,0.019,,,,
Kepler-238 b,Transit,5,2.090876,0.034,,,,287.897125,40.637814,,,5751,1.06,1.43,,,,1.73,0.016,,,,
Kepler-238 c,Transit,5,6.155557,0.069,,,,287.897125,40.637814,,,5751,1.06,1.43,,,,2.39,0.022,,,,
Kepler-238 d,Transit,5,13.233549,0.115,,,,287.897125,40.637814,,,5751,1.06,1.43,,,,3.07,0.028,,,,
Kepler-238 e,Transit,5,23.654,,,,,287.897125,40.637814,,,5751,1.06,1.43,,169.7,,5.6,0.051,,,,
Kepler-238 f,Transit,5,50.447,,,,,287.897125,40.637814,,,5751,1.06,1.43,,13.5,,2,0.018,,,,
Kepler-239 b,Transit,2,11.763051,0.095,,,,294.202148,40.663406,,,4914,0.74,0.76,,,,2.33,0.021,,,,
Kepler-239 c,Transit,2,56.228098,0.268,,,,294.202148,40.663406,,,4914,0.74,0.76,,,,2.51,0.023,,,,
Kepler-240 b,Transit,2,4.144495,0.048,,,,291.158783,40.750263,,,4985,,0.74,,,,1.37,0.013,,,,
Kepler-240 c,Transit,2,7.953528,0.074,,,,291.158783,40.750263,,,4985,,0.74,,,,2.2,0.02,,,,
Kepler-241 b,Transit,2,12.718092,0.094,,,,292.913116,41.060921,,,4699,,0.67,,,,2.33,0.021,,,,
Kepler-241 c,Transit,2,36.065978,0.189,,,,292.913116,41.060921,,,4699,,0.67,,,,2.57,0.024,,,,
Kepler-242 b,Transit,2,8.20395,0.075,,,,286.565704,41.808403,,,5020,,0.85,,,,2.61,0.024,,,,
Kepler-242 c,Transit,2,14.496481,0.109,,,,286.565704,41.808403,,,5020,,0.85,,,,2,0.018,,,,
Kepler-243 b,Transit,2,5.715442,0.062,,,,285.110474,42.033958,,,5228,0.89,0.84,,,,2.45,0.022,,,,
Kepler-243 c,Transit,2,20.026218,0.142,,,,285.110474,42.033958,,,5228,0.89,0.84,,,,1.99,0.018,,,,
Kepler-244 b,Transit,3,4.311792,0.05,,,,287.242676,42.301369,,,5554,,0.8,,,,2.76,0.025,,,,
Kepler-244 c,Transit,3,9.767292,0.087,,,,287.242676,42.301369,,,5554,,0.8,,,,2.05,0.019,,,,
Kepler-244 d,Transit,3,20.050401,0.14,,,,287.242676,42.301369,,,5554,,0.8,,,,2.31,0.021,,,,
Kepler-245 b,Transit,3,7.49019,0.071,,,,291.638977,42.436317,,,5100,0.8,0.8,,,,2.57,0.024,,,,
Kepler-245 c,Transit,3,17.460812,0.124,,,,291.638977,42.436317,,,5100,0.8,0.8,,,,2.18,0.02,,,,
Kepler-245 d,Transit,3,36.277108,0.202,,,,291.638977,42.436317,,,5100,0.8,0.8,,,,3.03,0.028,,,,
Kepler-246 b,Transit,2,4.60182,0.052,,,,296.483429,42.663429,,,5206,0.86,0.83,,,,2.34,0.021,,,,
Kepler-246 c,Transit,2,11.187161,0.095,,,,296.483429,42.663429,,,5206,0.86,0.83,,,,1.5,0.014,,,,
Kepler-247 b,Transit,3,3.33616,0.042,,,,288.642517,43.039291,,,5100,,0.77,,,,1.64,0.015,,,,
Kepler-247 c,Transit,3,9.439452,0.084,,,,288.642517,43.039291,,,5100,,0.77,,,,4.09,0.037,,,,
Kepler-247 d,Transit,3,20.477912,0.14,,,,288.642517,43.039291,,,5100,,0.77,,,,3.94,0.036,,,,
Kepler-248 b,Transit,2,6.308205,0.066,,,,293.061371,43.581356,,,5190,,0.83,,,,3.02,0.028,,,,
Kepler-248 c,Transit,2,16.239494,0.123,,,,293.061371,43.581356,,,5190,,0.83,,,,4.07,0.037,,,,
Kepler-249 b,Transit,3,3.306539,0.035,,,,296.985077,43.658524,,,3568,,0.48,,,,1.09,0.01,,,,
Kepler-249 c,Transit,3,7.113702,0.058,,,,296.985077,43.658524,,,3568,,0.48,,,,1.51,0.014,,,,
Kepler-249 d,Transit,3,15.368459,0.097,,,,296.985077,43.658524,,,3568,,0.48,,,,1.57,0.014,,,,
Kepler-250 b,Transit,3,4.148141,0.048,,,,289.594757,44.141953,,,5160,0.8,0.81,,,,1.13,0.01,,,,
Kepler-250 c,Transit,3,7.156804,0.069,,,,289.594757,44.141953,,,5160,0.8,0.81,,,,2.28,0.021,,,,
Kepler-250 d,Transit,3,17.648312,0.127,,,,289.594757,44.141953,,,5160,0.8,0.81,,,,2.18,0.02,,,,
Kepler-251 b,Transit,4,4.790936,0.053,,,,296.566223,44.105865,,,5526,0.91,0.89,,,,1.33,0.012,,,,
Kepler-251 c,Transit,4,16.514043,0.122,,,,296.566223,44.105865,,,5526,0.91,0.89,,,,2.77,0.025,,,,
Kepler-251 d,Transit,4,30.133001,0.182,,,,296.566223,44.105865,,,5526,0.91,0.89,,,,2.77,0.025,,,,
Kepler-251 e,Transit,4,99.640161,0.404,,,,296.566223,44.105865,,,5526,0.91,0.89,,,,2.77,0.025,,,,
Kepler-252 b,Transit,2,6.668391,0.058,,,,295.579346,44.545963,,,4208,0.52,0.55,,,,1.23,0.011,,,,
Kepler-252 c,Transit,2,10.848463,0.08,,,,295.579346,44.545963,,,4208,0.52,0.55,,,,2.15,0.02,,,,
Kepler-253 b,Transit,3,3.783986,0.046,,,,291.84198,44.858089,,,5208,,0.79,,,,1.63,0.015,,,,
Kepler-253 c,Transit,3,10.281951,0.089,,,,291.84198,44.858089,,,5208,,0.79,,,,2.65,0.024,,,,
Kepler-253 d,Transit,3,18.119869,0.13,,,,291.84198,44.858089,,,5208,,0.79,,,,3.17,0.029,,,,
Kepler-254 b,Transit,3,5.826662,0.064,,,,288.164703,45.816505,,,5957,,0.91,,,,3.87,0.035,,,,
Kepler-254 c,Transit,3,12.412183,0.105,,,,288.164703,45.816505,,,5957,,0.91,,,,2.15,0.02,,,,
Kepler-254 d,Transit,3,18.746477,0.139,,,,288.164703,45.816505,,,5957,,0.91,,,,2.5,0.023,,,,
Kepler-255 b,Transit,2,5.714606,0.063,,,,296.06424,45.976841,,,5573,0.97,0.93,,,,1.55,0.014,,,,
Kepler-255 c,Transit,2,9.946047,0.092,,,,296.06424,45.976841,,,5573,0.97,0.93,,,,2.99,0.027,,,,
Kepler-256 b,Transit,4,1.620493,0.027,,,,292.580444,46.097389,,,5551,1.02,1.3,,,,1.59,0.015,,,,
Kepler-256 c,Transit,4,3.38802,0.045,,,,292.580444,46.097389,,,5551,1.02,1.3,,,,2.15,0.02,,,,
Kepler-256 d,Transit,4,5.839172,0.064,,,,292.580444,46.097389,,,5551,1.02,1.3,,,,2.48,0.023,,,,
Kepler-256 e,Transit,4,10.681572,0.096,,,,292.580444,46.097389,,,5551,1.02,1.3,,,,2.35,0.022,,,,
Kepler-257 b,Transit,3,2.382667,0.034,,,,297.315979,46.02327,,,5180,,1.04,,,,2.61,0.024,,,,
Kepler-257 c,Transit,3,6.581484,0.066,,,,297.315979,46.02327,,,5180,,1.04,,,,5.41,0.05,,,,
Kepler-257 d,Transit,3,24.664551,0.16,,,,297.315979,46.02327,,,5180,,1.04,,,,4.95,0.045,,,,
Kepler-258 b,Transit,2,13.19722,0.103,,,,294.068481,46.57933,,,4942,0.8,0.92,,,,4.06,0.037,,,,
Kepler-258 c,Transit,2,33.653079,0.193,,,,294.068481,46.57933,,,4942,0.8,0.92,,,,3.61,0.033,,,,
Kepler-259 b,Transit,2,8.115317,0.079,,,,288.211914,46.615005,,,5938,,0.9,,,,2.8,0.026,,,,
Kepler-259 c,Transit,2,36.924931,0.217,,,,288.211914,46.615005,,,5938,,0.9,,,,2.7,0.025,,,,
Kepler-260 b,Transit,2,8.187399,0.075,,,,291.925964,38.014122,,,5250,0.88,0.86,,,,2.01,0.018,,,,
Kepler-260 c,Transit,2,76.050178,0.332,,,,291.925964,38.014122,,,5250,0.88,0.86,,,,1.74,0.016,,,,
Kepler-261 b,Transit,2,10.381227,0.088,,,,291.364777,37.609184,,,5098,0.87,0.79,,,,2.18,0.02,,,,
Kepler-261 c,Transit,2,24.570858,0.156,,,,291.364777,37.609184,,,5098,0.87,0.79,,,,2,0.018,,,,
Kepler-262 b,Transit,2,13.060855,0.108,,,,290.728668,37.252651,,,5841,,0.88,,,,1.36,0.013,,,,
Kepler-262 c,Transit,2,21.853722,0.152,,,,290.728668,37.252651,,,5841,,0.88,,,,1.64,0.015,,,,
